WARNING 2019-06-13 14:50:41,483 basehttp 154 "GET /static/images/ui.png HTTP/1.1" 404 1670
WARNING 2019-06-13 14:50:41,484 basehttp 154 "GET /static/css/news/index.css HTTP/1.1" 404 1685
WARNING 2019-06-13 14:50:41,485 basehttp 154 "GET /static/images/youxi.png HTTP/1.1" 404 1679
WARNING 2019-06-13 14:50:41,609 basehttp 154 "GET /static/js/commons.js HTTP/1.1" 404 1670
WARNING 2019-06-13 14:50:41,625 basehttp 154 "GET /static/images/dianshang.png HTTP/1.1" 404 1691
WARNING 2019-06-13 14:50:41,630 basehttp 154 "GET /static/images/python_advanced.jpg HTTP/1.1" 404 1709
WARNING 2019-06-13 14:50:41,631 basehttp 154 "GET /static/images/zimeiti.png HTTP/1.1" 404 1685
WARNING 2019-06-13 14:50:41,632 basehttp 154 "GET /static/js/index.js HTTP/1.1" 404 1664
WARNING 2019-06-13 14:50:41,645 basehttp 154 "GET /static/images/linux.jpg HTTP/1.1" 404 1679
WARNING 2019-06-13 14:50:41,663 basehttp 154 "GET /static/images/python_gui.jpg HTTP/1.1" 404 1694
WARNING 2019-06-13 14:50:41,671 basehttp 154 "GET /static/images/jichujiaochen.jpeg HTTP/1.1" 404 1706
WARNING 2019-06-13 14:50:41,681 basehttp 154 "GET /static/images/python_web.jpg HTTP/1.1" 404 1694
WARNING 2019-06-13 14:50:41,681 basehttp 154 "GET /static/images/english.jpg HTTP/1.1" 404 1685
WARNING 2019-06-13 14:50:41,827 basehttp 154 "GET /static/js/commons.js HTTP/1.1" 404 1670
WARNING 2019-06-13 14:50:41,878 basehttp 154 "GET /static/js/index.js HTTP/1.1" 404 1664
WARNING 2019-06-13 14:50:44,176 basehttp 154 "GET /static/css/base/reset.css HTTP/1.1" 404 1685
WARNING 2019-06-13 14:50:44,183 basehttp 154 "GET /static/css/base/common.css HTTP/1.1" 404 1688
WARNING 2019-06-13 14:50:44,192 basehttp 154 "GET /static/css/news/index.css HTTP/1.1" 404 1685
INFO 2019-06-13 14:53:24,210 basehttp 154 "GET / HTTP/1.1" 200 17075
WARNING 2019-06-13 14:53:24,297 basehttp 154 "GET /static/css/base/reset.css HTTP/1.1" 404 1685
WARNING 2019-06-13 14:53:24,301 basehttp 154 "GET /static/css/base/common.css HTTP/1.1" 404 1688
